会社名,銘柄コード,業種,優先市場,決算月,都道府県,時価総額,PBR,売上高,営業利益,営業利益率,当期純利益,純利益率,ROE,自己資本比率,PER(会予),負債,流動負債,流動資産,総負債,現金及び現金同等物,投資有価証券,ネットキャッシュ,ネットキャッシュ比率
パス,3840,情報・通信業,スタンダード（内国株式）,2025-03-31,東京都,6278583296.0,2.4967303,2253739000.0,-208368000.0,-0.25876,-276771000.0,-0.16129999,-0.19839,0.7609645886219178,,777412000.0,557829000.0,1540257000.0,293392000.0,154663000.0,,762845000.0,0.12149954281660931
ジーダット,3841,情報・通信業,スタンダード（内国株式）,2025-03-31,東京都,4992578560.0,1.9607695,2062768000.0,256991000.0,0.17219,213428000.0,0.061160002,0.04393,0.8410840432333062,,679107000.0,675407000.0,3107601000.0,,2545775000.0,132121000.0,2520978700.0,0.5049452241368436
ネクストジェン,3842,情報・通信業,スタンダード（内国株式）,2025-03-31,東京都,4034528768.0,1.7796774,3620794000.0,262272000.0,0.14442,204883000.0,0.08179,0.14658,0.614379600599011,,1363745000.0,1049945000.0,2753732000.0,475770000.0,1809821000.0,,1389987000.0,0.34452276335832044
フリービット,3843,情報・通信業,プライム（内国株式）,2025-04-30,東京都,34484453376.0,4.9667263,55073206000.0,5883783000.0,0.111169994,2748537000.0,0.05262,0.32386002,0.16028032419817345,9.55341,32022361000.0,15846408000.0,34104399000.0,21750041000.0,20677536000.0,1076831000.0,2835819700.0,0.08223472963540242
コムチュア,3844,情報・通信業,プライム（内国株式）,2025-03-31,東京都,49778421760.0,2.6681252,36341000000.0,4631000000.0,0.09691,3160000000.0,0.088360004,0.18142,0.7210573581664129,13.296422,7143000000.0,6590000000.0,20843000000.0,200000000.0,12881000000.0,88000000.0,13761600000.0,0.27645713772022973
アイフリークモバイル,3845,情報・通信業,スタンダード（内国株式）,2025-03-31,東京都,5026158592.0,5.9996285,2004586000.0,-61871000.0,0.02623,-110605000.0,-0.02315,-0.08405,0.6175781235970794,,532402000.0,315050000.0,1383737000.0,287724000.0,1003616000.0,,851335000.0,0.1693808471055901
パシフィックシステム,3847,情報・通信業,スタンダード（内国株式）,2025-03-31,埼玉県,10105462784.0,1.5195712,11354180000.0,867074000.0,0.034089997,654717000.0,0.0583,0.105,0.6853433103059484,,3068718000.0,2576476000.0,6739902000.0,420995000.0,2783851000.0,290287000.0,3874384900.0,0.38339509855345977
データ・アプリケーション,3848,情報・通信業,スタンダード（内国株式）,2025-03-31,東京都,4992857600.0,1.0462769,2607070000.0,329200000.0,-0.03801,268283000.0,0.1028,,0.7728905973243131,,1403371000.0,1137693000.0,4225199000.0,139436000.0,3828094000.0,1313660000.0,3741390000.0,0.7493484292442067
エヌ・ティ・ティ・データ・イントラマート,3850,情報・通信業,スタンダード（内国株式）,2025-03-31,東京都,19876059136.0,3.6766658,11829406000.0,551729000.0,0.1244,341309000.0,0.05356,0.13291,0.551946541410574,35.947136,4154586000.0,3245413000.0,5120576000.0,0.0,2519987000.0,335094000.0,1200555800.0,0.0604021044506516
日本一ソフトウェア,3851,情報・通信業,スタンダード（内国株式）,2025-03-31,岐阜県,4144339712.0,0.5504502,5299892000.0,-274726000.0,-0.3625,-157225000.0,-0.04887,-0.029509999,0.7054009620413767,,3286016000.0,1967302000.0,6868170000.0,1841081000.0,5195499000.0,1174718000.0,4404456600.0,1.0627643740803456
アステリア,3853,情報・通信業,プライム（内国株式）,2025-03-31,東京都,20745125888.0,3.4454412,3171258000.0,781201000.0,0.40397,588623000.0,0.28858,0.16352,0.7769187745651057,,1618463000.0,1307030000.0,3124272000.0,100000000.0,2814062000.0,3033852000.0,3629505400.0,0.1749570197643141
アイル,3854,情報・通信業,プライム（内国株式）,2024-07-31,大阪府,58819297280.0,5.211706,17508405000.0,4263813000.0,0.26049998,2887564000.0,0.18078,0.33273,0.6839564330528155,29.955387,4473262000.0,2555067000.0,11567945000.0,,6663216000.0,146256000.0,7197062200.0,0.12235886065995517
Ａｂａｌａｎｃｅ,3856,電気機器,スタンダード（内国株式）,2024-06-30,東京都,18997530624.0,0.65348727,208972000000.0,23353000000.0,0.10049,9530000000.0,0.01313,,0.16050155487337936,,107743000000.0,83261000000.0,89197000000.0,44955000000.0,37740000000.0,2582000000.0,-16738600000.0,-0.8810934605813324
ユビキタスＡＩ,3858,情報・通信業,スタンダード（内国株式）,2025-03-31,東京都,3556020224.0,1.5776457,4138789000.0,96498000.0,-0.13271,91084000.0,0.0103400005,0.01898,0.694410568281014,,1054429000.0,730717000.0,2513353000.0,65414000.0,1346054000.0,265341000.0,1644662700.0,0.4625009410520158
王子ホールディングス,3861,パルプ・紙,プライム（内国株式）,2025-03-31,東京都,703748505600.0,0.6842774,1849264000000.0,67687000000.0,0.0081,46171000000.0,0.0,0.02253,0.41814400595059636,10.098232,1502241000000.0,738818000000.0,806504000000.0,903388000000.0,58429000000.0,197835000000.0,-557252500000.0,-0.7918347187464351
日本製紙,3863,パルプ・紙,プライム（内国株式）,2025-03-31,東京都,123052834816.0,0.26245406,1182431000000.0,19708000000.0,0.0118700005,4539000000.0,0.0148599995,0.040599998,0.2829928586022023,8.838405,1192875000000.0,479192000000.0,638305000000.0,874926000000.0,185941000000.0,172984000000.0,-433481200000.0,-3.5227242074364336
三菱製紙,3864,パルプ・紙,プライム（内国株式）,2025-03-31,東京都,26648678400.0,0.32375127,175942000000.0,4567000000.0,-0.030940002,4343000000.0,0.0179,0.03521,0.40944783567143894,11.259259,122937000000.0,88882000000.0,91512000000.0,72334000000.0,6239000000.0,24813000000.0,-14055900000.0,-0.527452048053535
北越コーポレーション,3865,パルプ・紙,プライム（内国株式）,2025-03-31,東京都,140439371776.0,0.53858286,305718000000.0,19728000000.0,0.04507,15529000000.0,0.05053,0.059710003,0.6329395868048758,8.358358,153014000000.0,82005000000.0,179486000000.0,90630000000.0,27644000000.0,30608000000.0,47897600000.0,0.3410553564451741
みのや,386A,小売業,スタンダード（内国株式）,2024-06-30,埼玉県,7310940160.0,2.1213388,22540002000.0,967665000.0,0.033940002,714244000.0,0.01682,0.15052,0.32541649810982043,,5182736000.0,3554514000.0,3233742000.0,2247262000.0,1108145000.0,176398000.0,-1825515400.0,-0.24969639472469707
中越パルプ工業,3877,パルプ・紙,プライム（内国株式）,2025-03-31,,20894187520.0,0.37028527,111009000000.0,4848000000.0,-0.00191,1761000000.0,0.010650001,0.00423,0.4666989367288002,,65948000000.0,52103000000.0,54612000000.0,37194000000.0,9005000000.0,11651000000.0,-3180300000.0,-0.15220979504255927
巴川コーポレーション,3878,化学,スタンダード（内国株式）,2025-03-31,,7393880064.0,0.49845305,34432000000.0,1286000000.0,0.0434,749000000.0,0.020539999,0.05037,0.33065723522902335,6.9174314,26460000000.0,18197000000.0,21639000000.0,13882000000.0,4925000000.0,6318000000.0,-398400000.0,-0.053882399572555466
フラー,387A,情報・通信業,グロース（内国株式）,2024-06-30,新潟県,3357129728.0,,1517907000.0,12963000.0,0.0,28777000.0,0.0,,0.595837630976246,,520762000.0,294523000.0,1137985000.0,228319000.0,886065000.0,19769000.0,631061300.0,0.18797644152284604
大王製紙,3880,パルプ・紙,プライム（内国株式）,2025-03-31,東京都,139290181632.0,0.60887253,668912000000.0,9808000000.0,0.01327,-11197000000.0,-0.0148,-0.03487,0.2671572997948234,15.9186,636355000000.0,266702000000.0,360882000000.0,444637000000.0,113189000000.0,21382000000.0,-260505600000.0,-1.8702366308075258
ニッポン高度紙工業,3891,パルプ・紙,スタンダード（内国株式）,2025-03-31,,29602134016.0,1.1955895,16033765000.0,2460651000.0,0.19761999,1781054000.0,0.107250005,0.07639,0.6777371261510852,12.666216,11365995000.0,6768881000.0,17507454000.0,8286943000.0,4126719000.0,302683000.0,6353337100.0,0.21462429352444695
岡山製紙,3892,パルプ・紙,スタンダード（内国株式）,2025-05-31,岡山県,7097263104.0,0.53027964,11522767000.0,1032592000.0,0.08038,798698000.0,0.0713,0.06315,0.7800839845409626,,3649183000.0,2906595000.0,10140417000.0,38694000.0,2866006000.0,3656133000.0,9050527100.0,1.275213693980028
ハビックス,3895,パルプ・紙,スタンダード（内国株式）,2025-03-31,岐阜県,3130760960.0,0.43099695,13403100000.0,695011000.0,0.04361,672450000.0,0.05014,0.09604,0.590202881925855,,5044246000.0,3912547000.0,8335434000.0,1301206000.0,2231282000.0,149601000.0,3395908700.0,1.0846911480587773
阿波製紙,3896,パルプ・紙,スタンダード（内国株式）,2025-03-31,徳島県,3452645120.0,0.69149655,17124457000.0,432415000.0,-0.049200002,35867000.0,-0.00434,0.026919998,0.1977941571852789,,19605176000.0,9256432000.0,9247124000.0,12597418000.0,988726000.0,199818000.0,-10218179400.0,-2.9595220605817723
クラウドワークス,3900,情報・通信業,グロース（内国株式）,2024-09-30,東京都,13504531456.0,1.7866359,17113505000.0,1340620000.0,0.08088,910756000.0,0.03388,0.10722,0.5315652959773753,11.089495,6232623000.0,5534455000.0,8827646000.0,2033733000.0,5960365000.0,1952023000.0,3961439100.0,0.29334146933620203
マークラインズ,3901,情報・通信業,プライム（内国株式）,2024-12-31,東京都,25111545856.0,3.8424535,5562104000.0,2216110000.0,0.35841998,1577957000.0,0.26989,0.24378,0.7559330185629242,13.150778,2136433000.0,2125337000.0,6661368000.0,,6060545000.0,567243000.0,4922005100.0,0.19600565923837643
メディカル・データ・ビジョン,3902,情報・通信業,プライム（内国株式）,2024-12-31,東京都,17035549696.0,6.0797668,5906958000.0,3765000.0,-0.014889999,-791169000.0,-0.11607,-0.21367,0.6529723055361133,17.54386,1594569000.0,1438566000.0,3111471000.0,,1347266000.0,438348000.0,1823745600.0,0.1070552833659498
ｇｕｍｉ,3903,情報・通信業,プライム（内国株式）,2025-04-30,東京都,21197656064.0,1.1494994,8942741000.0,370823000.0,0.05357,2063322000.0,0.46683997,0.20503001,0.7103686430947271,8.458498,6004411000.0,5112234000.0,15736683000.0,4031567000.0,6077083000.0,1523345000.0,10798613500.0,0.5094248848739128
カヤック,3904,情報・通信業,グロース（内国株式）,2024-12-31,神奈川県,6910561280.0,1.1829098,16727784000.0,358023000.0,0.0101,149053000.0,0.026730001,0.07309,0.4317835681086279,,6847753000.0,4772408000.0,8949749000.0,3268060000.0,4780097000.0,638757000.0,2549125900.0,0.36887393030975335
データセクション,3905,情報・通信業,グロース（内国株式）,2025-03-31,東京都,53885820928.0,10.140813,2942635000.0,-496002000.0,-0.51198,-654991000.0,-0.29111,-0.26830998,0.5189904333309897,,2193818000.0,1877443000.0,1391803000.0,1370117000.0,526039000.0,62735000.0,-758100500.0,-0.01406864527521892
シリコンスタジオ,3907,情報・通信業,グロース（内国株式）,2024-11-30,東京都,2412835584.0,1.3874836,4414000000.0,145000000.0,0.118669994,87000000.0,0.019709999,0.04977,0.5908319185059423,,1205000000.0,989000000.0,2486000000.0,265000000.0,1242000000.0,138000000.0,1377600000.0,0.570946486836958
コラボス,3908,情報・通信業,グロース（内国株式）,2025-03-31,東京都,1438303872.0,1.0871515,1906946000.0,75494000.0,0.08559,144924000.0,0.07467,0.1087,0.7441778870611199,,444044000.0,308276000.0,1513377000.0,285531000.0,1307016000.0,,1069333000.0,0.743468067365392
ショーケース,3909,情報・通信業,スタンダード（内国株式）,2024-12-31,東京都,2597528064.0,1.342389,6211422000.0,-165842000.0,-0.11146,-742757000.0,0.07509,0.20988001,0.22829970297043903,,2191296000.0,1405408000.0,2994395000.0,1858347000.0,1233814000.0,42091000.0,832562700.0,0.32052115684090643
エムケイシステム,3910,情報・通信業,スタンダード（内国株式）,2025-03-31,大阪府,1617393152.0,2.5470738,3290195000.0,-23483000.0,0.04774,-118568000.0,0.0018099999,0.01079,0.2734289352204628,,1766485000.0,1210080000.0,1512994000.0,1203294000.0,606324000.0,,-253491000.0,-0.15672812741079295
Ａｉｍｉｎｇ,3911,情報・通信業,グロース（内国株式）,2024-12-31,東京都,10267003904.0,1.4673417,17086858000.0,-552563000.0,0.07014,-341113000.0,0.1005,0.31315002,0.7100707610801795,,2089957000.0,1857334000.0,6756540000.0,659000.0,2867502000.0,,4666583000.0,0.45452237513827287
