会社名,銘柄コード,業種,優先市場,決算月,都道府県,時価総額,PBR,売上高,営業利益,営業利益率,当期純利益,純利益率,ROE,自己資本比率,PER(会予),負債,流動負債,流動資産,総負債,現金及び現金同等物,投資有価証券,ネットキャッシュ,ネットキャッシュ比率
極洋,1301,水産・農林業,プライム（内国株式）,2025-03-31,東京都,55051649024,0.78194815,302681000000.0,11080000000.0,0.02434,6740000000.0,0.02152,0.119160004,0.3652267498366435,16.12735,113763000000.0,74995000000.0,134258000000.0,79916000000.0,7514000000.0,14053000000.0,30332100000.0,0.5509753211348236
Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,130A,医薬品,グロース（内国株式）,2024-12-31,東京都,3567912704,1.7618436,194643000.0,-212850000.0,-5.45098,-236442000.0,-2.7095098,,0.9824758843873473,,39410000.0,39410000.0,2232073000.0,,2173358000.0,,2192663000.0,0.6145506299920952
ニッスイ,1332,水産・農林業,プライム（内国株式）,2025-03-31,東京都,344669782016,1.2565203,886126000000.0,31783000000.0,0.041810002,25381000000.0,0.032479998,0.11085,0.4363657269585653,12.794101,348939000000.0,226179000000.0,332568000000.0,215270000000.0,14707000000.0,30453000000.0,4946100000.0,0.01435025713907927
マルハニチロ,1333,水産・農林業,プライム（内国株式）,2025-03-31,東京都,178759696384,0.7892427,1078631000000.0,30382000000.0,0.03577,23264000000.0,0.0214,0.11533,0.33699984292678775,13.53031,405816000000.0,236915000000.0,414576000000.0,270911000000.0,49240000000.0,44671000000.0,40029700000.0,0.22393023041396753
ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,135A,情報・通信業,グロース（内国株式）,2025-02-28,東京都,31312979968,21.029484,2144641000.0,594987000.0,0.38146,425072000.0,0.15106,,0.7590650897301636,,451393000.0,451393000.0,1539832000.0,5200000.0,488886000.0,,1088439000.0,0.0347599941338167
ユキグニファクトリー,1375,水産・農林業,プライム（内国株式）,2025-03-31,新潟県,40551890944,3.373414,53139000000.0,2420000000.0,0.092250004,1502000000.0,0.0164,0.06959,0.32655540297876834,6.436709,25343000000.0,9502000000.0,11501000000.0,17159000000.0,3903000000.0,186000000.0,-13711800000.0,-0.3381297315810813
カネコ種苗,1376,水産・農林業,スタンダード（内国株式）,2025-05-31,群馬県,18565883904,0.736173,64508666000.0,1511651000.0,0.02497,1200256000.0,0.021389998,0.05633,0.5071656318283071,,24306507000.0,22983956000.0,38277060000.0,,1934582000.0,2264370000.0,15555612000.0,0.8378600275879438
サカタのタネ,1377,水産・農林業,プライム（内国株式）,2025-05-31,神奈川県,172482428928,1.0504773,92920000000.0,12258000000.0,0.19252001,9711000000.0,0.12873,0.0747,0.844585466997581,18.890732,29220000000.0,20037000000.0,113848000000.0,2868000000.0,29525000000.0,18464000000.0,97552800000.0,0.5655810890784814
ホクト,1379,水産・農林業,プライム（内国株式）,2025-03-31,長野県,58917593088,1.0183713,83104000000.0,6628000000.0,0.00956,4441000000.0,0.06201,0.093100004,0.5278479836461625,,50813000000.0,24823000000.0,38621000000.0,33066000000.0,16323000000.0,8374000000.0,-6330200000.0,-0.10744159203084111
Ｃｏｃｏｌｉｖｅ,137A,情報・通信業,グロース（内国株式）,2025-05-31,,3324684032,8.989352,1301771000.0,279617000.0,,209170000.0,,,0.8409387789823908,,168282000.0,168279000.0,1020383000.0,,,,852101000.0,0.25629533266877375
秋川牧園,1380,水産・農林業,スタンダード（内国株式）,2025-03-31,山口県,4152445440,1.9458522,7957457000.0,-3198000.0,0.00243,28185000.0,0.0076099997,0.029140001,0.30618201423382474,,4939245000.0,2688933000.0,2933981000.0,3422129000.0,968035000.0,118784000.0,-1922115200.0,-0.46288752682563844
アクシーズ,1381,水産・農林業,スタンダード（内国株式）,2025-06-30,,21564346368,0.9884193,26426000000.0,2121000000.0,0.14521,1720000000.0,0.074260004,0.09665,0.8613758723828514,,3476000000.0,2945000000.0,13081000000.0,69000000.0,7743000000.0,631000000.0,10046700000.0,0.4658940191625102
ホーブ,1382,水産・農林業,スタンダード（内国株式）,2025-06-30,北海道,1531676160,2.026027,2412711000.0,38068000.0,-0.06702,24712000.0,0.00995,0.03148,0.7069412633566734,,313482000.0,158516000.0,936566000.0,4016000.0,306105000.0,,623084000.0,0.40679878441145156
