会社名,銘柄コード,業種,優先市場,決算月,都道府県,時価総額,PBR,売上高,営業利益,営業利益率,当期純利益,純利益率,ROE,自己資本比率,PER(会予),負債,流動負債,流動資産,総負債,現金及び現金同等物,投資有価証券,ネットキャッシュ,ネットキャッシュ比率
Ｍ＆Ａキャピタルパートナーズ,6080,サービス業,プライム（内国株式）,2024-09-30,東京都,98134081536.0,2.233737,19166533000.0,6375107000.0,0.31358,4464468000.0,0.24566,0.13077,0.8572301141073383,14.812329,6730160000.0,5602397000.0,40691646000.0,,39146881000.0,2819955000.0,35935454500.0,0.3661873014709702
アライドアーキテクツ,6081,サービス業,グロース（内国株式）,2024-12-31,東京都,2911627776.0,1.6562177,3463714000.0,-459827000.0,-0.0942,-516291000.0,-0.22594,-0.3238,0.5847452441778105,7.606679,1552715000.0,953555000.0,3001787000.0,633633000.0,1940205000.0,546347000.0,1831514900.0,0.6290346984243085
ライドオンエクスプレスホールディングス,6082,サービス業,スタンダード（内国株式）,2025-03-31,東京都,9768165376.0,1.216459,23393750000.0,781703000.0,0.00976,333605000.0,0.0201,0.06105,0.6176461242118797,20.304878,4966526000.0,3340594000.0,8709499000.0,1649667000.0,6544597000.0,2497131000.0,5490964700.0,0.5621285562477356
ＥＲＩホールディングス,6083,サービス業,スタンダード（内国株式）,2025-05-31,東京都,27124588544.0,4.1521387,19765494000.0,2045769000.0,0.16129999,1293720000.0,0.08371,0.28792,0.47207689969951006,,7050690000.0,4841457000.0,9579233000.0,2550829000.0,5863509000.0,96034000.0,2595766800.0,0.0956979235201777
アーキテクツ・スタジオ・ジャパン,6085,サービス業,グロース（内国株式）,2025-03-31,東京都,3327488256.0,12.381521,897496000.0,-96615000.0,-0.91743,-79904000.0,-0.12438,-0.74586,0.04535616780918806,,1896149000.0,575656000.0,630582000.0,1338209000.0,211375000.0,,-1265567000.0,-0.3803370298055832
シンメンテホールディングス,6086,サービス業,グロース（内国株式）,2025-02-28,東京都,19852208128.0,4.779054,25707509000.0,1534311000.0,0.08226,1033141000.0,0.04295,0.29633,0.3917846043447478,10.100913,5514349000.0,4776463000.0,7731416000.0,392848000.0,4140204000.0,343512000.0,2457525400.0,0.1237910354432488
アビスト,6087,サービス業,スタンダード（内国株式）,2024-09-30,東京都,12475258880.0,1.8170742,10002339000.0,903483000.0,0.07462,611042000.0,0.05628,0.08461001,0.7312426995703081,18.61639,2521062000.0,1709419000.0,6138575000.0,50000000.0,4488541000.0,738504000.0,4134465800.0,0.3314132267530147
シグマクシス・ホールディングス,6088,サービス業,プライム（内国株式）,2025-03-31,東京都,60523835392.0,4.2049217,26293590000.0,5638919000.0,0.25067,4394662000.0,0.16605,0.31178,0.7229704627414348,6.0552907,5468793000.0,4781485000.0,14073977000.0,16262000.0,6945511000.0,3024643000.0,10722434100.0,0.17716051916659076
ウィルグループ,6089,サービス業,プライム（内国株式）,2025-03-31,東京都,23547404288.0,1.4003828,139705000000.0,2339000000.0,0.01122,1155000000.0,0.00977,0.078779995,0.348376499809707,,32563000000.0,25208000000.0,26551000000.0,6605000000.0,6936000000.0,2160000000.0,-4500000000.0,-0.19110386626746992
ヒューマン・メタボローム・テクノロジーズ,6090,サービス業,スタンダード（内国株式）,2025-06-30,山形県,3934084352.0,2.0744843,1455004000.0,249521000.0,-0.55026,256420000.0,0.17594999,0.13292,0.803752368286626,20.501474,466011000.0,449943000.0,1864807000.0,110468000.0,1562417000.0,49980000.0,1433782000.0,0.364451260245881
ウエスコホールディングス,6091,サービス業,スタンダード（内国株式）,2024-07-31,岡山県,11272431616.0,0.701667,15725320000.0,942252000.0,0.01313,768062000.0,0.04803,0.04773,0.779261425491288,,4582471000.0,4146458000.0,13454657000.0,90390000.0,9135177000.0,2197692000.0,10410570400.0,0.9235425642523587
エンバイオ・ホールディングス,6092,サービス業,スタンダード（内国株式）,2025-03-31,東京都,4617062912.0,0.5047075,10668079000.0,839455000.0,0.0484,452689000.0,0.01095,0.00857,0.43129400425796366,,11964584000.0,4818328000.0,8957765000.0,10098880000.0,3293050000.0,836741000.0,-2421100300.0,-0.5243810504958526
エスクロー・エージェント・ジャパン,6093,サービス業,スタンダード（内国株式）,2025-02-28,東京都,6271372800.0,1.8342781,4741362000.0,482405000.0,0.10444,349113000.0,0.05174,0.07147,0.7468997457208667,13.714286,1205087000.0,1023419000.0,3609028000.0,123047000.0,2993868000.0,57905000.0,2444474500.0,0.389782999345853
